Project_x,Hole,From_m,To_m,Alt_Group,Alt_Intensity,Alt_Style,Alt1,Alt1_Int,Alt2,Alt2_Int,Alt3,Alt3_Int,Alt4,Alt4_Int,Comments_x,Au_Best_ppm,Ag_Best_ppm,Cu_Best_ppm,Pb_Best_ppm,Zn_Best_ppm,RQD_m,RQD_Pct,Hardness,Weathering,Num_Fractures,Fractures_per_m,Fracture_Infill,Roughness,Shape,Comments_x,Colour,Oxidation,Foliation,QtzCarb_Replacement_Pct,Lith1_Group,Lith1,Lith1_Texture,Lith1_Bedding,Lith1_Volc_Txt1,Lith1_Volc_Txt2,Comments_y,Reading1,Reading2,Reading3,Avg_Reading,Comments_x,Min_Intensity,Min_Style,Min_Pct,VG,Min1,Min2,Min3,Comments_y,Bedding_Confidence,Bedding_Style,Bedding_Bed_Thickness,Bedding_Younging_Direction,Bedding_Angle_TCA,Bedding_Cleavage_Angle,Fabric1_Feature,Fabric1_Confidence,Fabric1_Intensity,Fabric1_Angle_TCA,Fabric2_Feature,Fabric2_Confidence,Fabric2_Intensity,Fabric2_Angle_TCA,Comments_x,Total_Pct_Vein,Vein1,Vein1_Pct,Vein1_Style,Vein1_Form,Vein1_Internal_Structure,Vein1_Pct_Sulphide,Vein1_Angle_TCA,Vein1_VG,Vein2,Vein2_Pct,Vein1_Grain_Size,Vein2_Style,Vein2_Form,Vein2_Internal_Structure,Vein2_Pct_Sulphide,Vein2_Angle_TCA,Vein2_VG,Vein3,Vein3_Pct,Vein3_Style,Vein3_Form,Vein3_Internal_Structure,Vein3_Pct_Sulphide,Vein3_Angle_TCA,Vein3_VG,Comments_y
GCL,KAD17-001,67.3,78.38,Qtz,3,PER,QZ,3,CL,3,GR,2,FU,2,Strong siliceous alteration and chlorite-graphite-sulfides along foliation and fracture planes. Weak minor fuchsite altereation locally,,,,,,,,,,,,,,,,BLACK,UO,MOD,0,UM,UM,BRECCIA,,,,"Dark grey to black massive unit with a strong siliceous alteration and chlorite-graphite-sulfides along foliation and fracture planes. Weak minor fuchsite altereation locally. Foliation is steep and wavy. Rutile flecks present and possible relict varioles and perlitic fragments from 68-75m. Moderate to strong disseminated pyrite, chalcopyrite and possible arsenopyrite.",,,,,,2,DIS,1,FALSE,CP,PY,AS,"Moderate to strong disseminated pyrite, chalcopyrite and possible arsenopyrite.",,,,,,,,,,,,,,,,1,QC,1,IDV,NOD,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Very minor thin white quartz-carb veins.
GCL,KAD17-001,78.38,89.2,,,,,,,,,,,,Not applicable - void,,,,,,,,,,,,,,,,,,,,VOID,VOID,,,,,"Stope 08: Void encountered at 78.38m, pushed HQ rods through to 93m into the rock on the other side.Reduced to NQ and started coring again at 89.2m.",,,,,,,,,FALSE,,,,Void,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Not applicable -void
GCL,KAD17-001,89.2,103.85,SerQtzCarb,3,PER,CB,3,MS,3,CL,2,FU,1,Pervasive carbonate-sericite alteratin with fracture controlled chlorite altn. Chlorite altn appears to be relict or replaced by carbonate-sericite. Trace fuchsite and gradational to a fuchite rich domain.,,,,,,,,,,,,,,,,BROWN,TO,WK,5,UM,UM,MASS,,,,"Brown to grey, granular ultramafic with carbonate-chlorite-sericite alteration. Massive to weakly foliated. Minor to no quartz-carb veins. Moderate disseminated pyrite throughout. Gradational lower contact to fuchsite and quartz-carbonate alteration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,QC,1,STW,NOD,MAS,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Domain is vein poor.Qtz-carb veins are widely spaced sheeted.
GCL,KAD17-001,103.85,136.94,FuQtzCarb,4,PER,FU,4,CB,4,QZ,4,,,Strong pervasive quartz-carb fuchsite altn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,136.94,145.44,SerQtzCarb,3,PER,CB,4,QZ,3,MS,3,CL,2,"Relict Brown quartz-carb sericite altered domains cross-cut by fracture controlled grey quartz-carb altn. Minor patchy fuchsite alteration, locally associated with the quartz vein envelopes.",,,,,,,,,,,,,,,,BROWN,UO,WK,15,UM,UM,GRAN,,,,"Brown to greenish, massive um unit with a granular texture. Moderate to strong quartz-carb replacement and weak fuchsite alteration. Gradational to stronger fuchsite altered domains. Sparse white quartz carb veins. Weak disseminated pyrite throughout.",,,,,,2,DIS,0.5,FALSE,PY,,,Disseminated pyrite throughout.,,,,,,,FOL,MOD,2,50,VN,HIGH,2,40,,2,QC,2,IDV,NOD,MAS,0,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Sparse abundance of planar white quartz-carb veins, < 1-2cm wide."
GCL,KAD17-001,145.44,146.4,FuQtzCarb,3,PER,CB,4,QZ,3,FU,3,CL,2,Grey quartz-carb domains and wispy domains of fuchsite-chlorite altd um.,0.04,0.03,10.5,1.3,60,,,,,,,,,,,GREEN,UO,MOD,50,UM,UM-QC,BAND,,,,Green-grey um with strong quartz-carbonate alteration and weak fuchsite plus trace chlorite altn. Gradational to upper brown UM unit. Spare quartz-carb veins and minor disseminated pyrite.,0.487,0.484,0.68,0.5503,,2,DIS,0.5,FALSE,PY,,,,,,,,,,FOL,HIGH,3,40,VN,HIGH,2,80,Moderately foliated domain,2,QC,2,IDV,NOD,MAS,0,80,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Thin planar, milky white quartz-carb veins sparsely distributed."
GCL,KAD17-001,146.4,147.02,Albite,4,PER,AB,4,QZ,3,CB,3,,,Strong pervasive albite alteration.,6.76,0.69,73.3,3,27,,,,,,,,,,,TAN,UO,NON,5,DYK,DYKE-ALB,APHAN,,,,"Abundant disseminated pyrite in a strongly albite altered dyke with sharp margins. Thin grey quartz veins, minor < 5mm wide, carbonate veins.",0.27,0.3,0.215,0.2617,,4,DIS,5,FALSE,PY,,,,,,,,,,VN,HIGH,3,50,,,,,,10,QZ,5,STW,NOD,MAS,1,50,FALSE,QC,5,,STW,NOD,MAS,0,,FALSE,,,,,,,,FALSE,Thin wispy dark grey quartz veins and discontinuous quartz-carb veins.
GCL,KAD17-001,147.02,161.27,FuQtzCarb,4,PER,CB,4,QZ,4,FU,4,CL,2,Strong fuchsite altn of ragged wispy ultramafic isolated in domains of grey-white quartz-carbonate alteration.,,,,,,,,,,,,,,,,GREEN-EM,UO,MOD,60,UM,UM-QC,BRECCIA,,,,"Bright emerald green ragged um domains and grey quartz-carb replaced domains. Fuchsite intensity is variable. Tan, silicified albite dyke from 159.35-159.65m. Abundant disseminated orange mineral. Disseminated pyrite along dark wispy bands defining foliation.",,,,,,3,DIS,0.5,FALSE,PY,,,,,,,,,,FOL,MOD,3,60,VN,MOD,3,40,"Ragged, non-distinct, foliation cross-cut by discontinuous and irregular white quartz-carb veins.",11,QC,10,STW,DEF,MAS,0,40,FALSE,SF,1,,STR,CRN,MAS,90,,FALSE,,,,,,,,FALSE,Irregular discontinuous white quartz-carb veins and thin wispy dark sulfide stringer veins.
GCL,KAD17-001,161.27,165.42,QtzCarb,3,PER,CB,4,QZ,3,FU,1,CL,,"Brown ragged fragments of UM with a patchy ""infill"" of grey carbonate alteration.",,,,,,,,,,,,,,,,BROWN,UO,MOD,40,UM,UM,BRECCIA,,,,"Dark brown ragged fragments (or apparent fragments) of um (or possibly mafic) with grey quartz-carbonate ""infill"". Trace fuchsite. Disseminated pyrite. Planar quartz-carb veins (non-deformed).",,,,,,3,DIS,0.5,FALSE,PY,,,,,,,,,,FOL,MOD,3,50,VN,HIGH,2,30,,2,QC,2,IDV,NOD,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Planar, non-deformed white quartz-carb veins."
GCL,KAD17-001,165.42,167.67,FuQtzCarb,3,PER,CB,4,QZ,3,FU,3,CL,2,,,,,,,,,,,,,,,,,GREEN-EM,UO,MOD,30,UM,UM-QC,BRECCIA,,,,Green to grey um with ragged grey quartz-carbonate alteration separating fragments with foliation defined fuchsite alteration. Minor wispy grey stringer veins and planar irregular and discontinous to non-deformed milky white quartz-carb veins. Weak disseminated pyrite.,,,,,,2,DIS,0.25,FALSE,PY,,,,,,,,,,FOL,MOD,3,55,VN,MOD,2,50,,5,QC,5,IDV,DEF,MAS,0,50,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,167.67,173.08,QtzCarb,3,PER,CB,3,QZ,2,CL,3,FU,2,,,,,,,,,,,,,,,,,BROWN,UO,WK,20,UM,UM-BX,BRECCIA,,,,Upper contact is marked by a fault zone to 168m; followed by a breccia texture to the end of the interval. May be a zone of mixed lithology. Moderate to strong carbonate altn and ragged brown and locally fuchsite altered fragments. Minnor thin (<0.5cm) wide quartz veins.Trace disseminated pyrite.,,,,,,2,DIS,0.25,FALSE,PY,,,,,,,,,,FOL,MOD,2,50,VN,HIGH,2,40,,5,QC,5,IDV,NOD,MAS,0,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,173.08,176.09,FuQtzCarb,3,PER,CB,4,QZ,3,FU,4,CL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,176.09,178.51,QtzCarb,3,PER,CB,3,QZ,3,MS,2,CL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,178.51,179.68,Albite,3,PER,AB,3,QZ,3,MS,3,,,,0.122,0.02,39.3,0.25,56,,,,,,,,,,,,,,,,,,,,,,0.577,0.573,0.436,0.5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,179.68,182.23,SerQtzCarb,3,PER,CB,3,QZ,3,MS,3,CL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,182.23,183.66,FuQtzCarb,4,PER,CB,4,QZ,4,FU,4,CL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,183.66,185.09,SerQtzCarb,3,PER,CB,3,QZ,3,MS,3,AB,3,,0.011,0.1,27.2,1,62,,,,,,,,,,,,,,,,,,,,,,0.439,0.427,0.526,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,185.09,186.83,FuQtzCarb,3,PER,CB,3,QZ,3,FU,2,MS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCL,KAD17-001,186.83,202.24,FuQtzCarb,3,PER,CB,3,QZ,2,FU,2,MS,2,,,,,,,,,,,,,,,,,GREEN-AP,UO,MOD,30,UM,UM,MASS,,,,"Green, weakly fuchsite altered ragged and wispy ultramafic lenses with a white quartz-carbonate infill. Moderate disseminated pyrite throughout and irregular, discontinuous white quartz-carb veins.",,,,,,3,DIS,0.5,FALSE,PY,,,,,,,,,,FOL,MOD,3,30,VN,MOD,2,30,Veins appear to form an oblique stockwork.,10,QC,10,STW,DEF,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Continuous to the alteration infill
GCL,KAD17-001,202.24,222.5,SerQtzCarb,3,PER,CB,3,QZ,2,MS,2,CL,2,,,,,,,,,,,,,,,,,TAN,UO,MOD,20,UM,UM,MASS,,,,UM with alternating massive and quartz-carbonate banded domains. Moderate to strong carbonate altn with weak sericite and chlorite. Disseminated pyrite. Alteration banding is transitional to quartz-carbonate veins. Veining and banding has a similar orientation.,,,,,,2,DIS,0.5,FALSE,PY,,,,,,,,,,FOL,MOD,3,50,,,,,Foliation defined by alteration domains and veining,10,QC,10,IDV,NOD,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,QC veins are transitional to alteration replacement.
GCL,KAD17-001,222.5,229.47,SerQtzCarb,3,PER,CB,3,MS,3,CL,2,FU,2,,,,,,,,,,,,,,,,,TAN,UO,MOD,10,MIX,UM-SED,BAND,,,,Zone of mixed ultramafic and sandstone to mudstone. Possible ultramafic domains and sediment domains.Ultramafic domains may be a primary breccia or mixed domains. Anastomosing carbonate domains and sericite-chlorite wispy lenses. Weak fuchsite alteration. Disseminated pyrite.,,,,,,2,DIS,0.25,FALSE,PY,,,,LOW,GRD,MED,DOWN,60,PLL,FOL,HIGH,3,50,,,,,Bedding downhole is a guess at best,5,QC,5,IDV,DEF,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,229.47,233.5,SerQtzCarb,2,PER,MS,3,CL,2,FU,2,CB,2,,,,,,,,,,,,,,,,,TAN,UO,MOD,5,MIX,UM-SED,BED,MED,,,"Gradational to upper ultramafic unit; thick to thin graded beds of apparent pebble to granule breccia - sandstone - to mudstone grain size variation. Beds grading downhole.Weak pervasive sericite-chlorite altn with local fuchsite alteration. Weak disseminated pyrite and sparse, thin and planar quartz-carb veins.",,,,,,2,DIS,0.25,FALSE,,,,,HIGH,GRD,MED,DOWN,70,PLL,FOL,HIGH,3,50,,,,,,1,QC,1,IDV,FOD,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Sparse, planar,quartz-carb veins, locally folded."
GCL,KAD17-001,233.5,246,ChlCarb,2,FRC,CL,2,MS,3,CB,2,GR,2,,,,,,,,,,,,,,,,,GREY,UO,ST,1,SED,SED-MSSS,BED,THIN,,,Alternating beds of dark grey-black mudstone and light grey sandstone. Black interbeds are weakly graphitic. Beds are contorted and folded. Clay gouge-filled discrete faults @ 239.75 (25cm) and @242.48 (25cm). Weak to moderate sericite-chlorite alteration. Trace disseminated pyrite.,,,,,,1,DIS,0.1,FALSE,PY,,,,LOW,GRD,THIN,,,NML,FOL,HIGH,4,40,,,,,,1,QC,1,IDV,DEF,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Very rare, folded white quartz-carb veins"
GCL,KAD17-002,11.35,18.5,ChlCarb,4,FRC,CY,4,MS,3,,,,,Clay/chlorite altered softened fault rubble. Chl covers fracture planes,,,,,,,,,,,,,,,,GREY,TO,,5,FLT,FAULT,FLTD,,,,"Faulted, quartz  carbonate  - chlorite -sericite altered rock. Grey, semi-intact core, texture destroyed by qtz-carb-chl-ser flooding. Rubble < 10cm, Common fault gouge up to 3 cm along planes~30° to core axis. Local healed fault breccias.Trace pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,QC,3,IDV,SH,,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-002,18.5,36,QtzCarb,1,PAT,CB,2,QZ,1,FU,1,,,,,,,,,,,,,,,,,,,GREY,UO,WK,3,UM,UM,BAND,,,,"Moderate foliation ~40°TCA defined by alternating quartz-carb bands with dark grey selvages, and fuchsite bands. Grey to dark green. Weak to moderate qtz-carb-fuchsite alteration. Common disseminated sulphides, Py and lesser Cpy approximately 5% total. Rare <1/m milky quartz veins <2cm thick cross cut foliation. Decreasing fuchsite 30 to 36 m",,,,,,1,DIS,2,FALSE,PY,CP,,"Trace py and cpy, local concentration as aggregates and discontinuous stringer",,,,,,,FOL,HIGH,1,35,,,,,,5,QC,4,IDV,DEF,MAS,0.1,,FALSE,QZ,1,,IDV,,MAS,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-002,36,45,Carb,2,PER,CB,2,QZ,1,,,,,,,,,,,,,,,,,,,,,GREY,TO,WK,4,MIX,UM-MAFIC,BRECCIA,,,,"Mafic or Ultramafic. Light grey to locally brownish, local brecciation and healed fault fabric shallow TCA. Moderate quartz - carbonate flooding obscures texture. 	Sharp faulted upper contact at ~40° TCA. 	Weak to moderate disseminated pyrite.",,,,,,,,,,,,,,,,,,,,FLT,MOD,3,30,,,,,"Healed fault fabric/breccia locally, distorted sheared texture throughout.",2,QC,2,,DEF,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-002,45,61.37,QtzCarb,2,PAT,CB,2,QZ,1,CL,1,FU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,QZ,3,STR,DEF,,0.25,,FALSE,QC,1,,IDV,DEF,COK,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-002,61.37,62.22,Qtz,5,VNE,,,,,,,,,Quartz Vein,0.011,,,,,,,,,,,,,,,WHITE,UO,NON,100,VN,VEIN,MASS,,,,Discrete Quartz-Carbonate vein ~20° TCA. Strong carbonate alteration at selvages. Trace pyrite,0.033,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,96,QC,96,IDV,NOD,ZON,0.5,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-002,62.22,87.15,FuQtzCarb,2,PER,CB,2,QZ,2,FU,2,,,,,,,,,,,,,,,,,,,GREEN-OL,UO,MOD,10,UM,UM,BAND,,,,"Ultramafic (UM). Dark grey to green. Weak pervasive quartz-carb fuchsite ±chlorite flooding. Abundant thin, dark grey wispy smoky quartz veins and less common chunky milky quartz-carbonate veins. Weak disseminated pyrite, local thin pyrite wisps and rare sulphide aggregates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,QC,10,IDV,DEF,COK,1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
