Project,Hole,From_m,To_m,Colour,Oxidation,Foliation,QtzCarb_Replacement_Pct,Lith1_Group,Lith1,Lith1_Texture,Lith1_Bedding,Lith1_Volc_Txt1,Lith1_Volc_Txt2,Comments,ImagePath,Relog,Logger,Timestamp
GCL,KAD17-001,66.8,67.3,GREY,UO,NON,0,FLT,FAULT,BRECCIA,,,,"Highly siliceous, quartz-flooded breccia with a fault at the top contact.  Breccia texture defined by 60% angular siliceous altered fragments in a very fine grained siliceous matrix. Interpreted as a siliceous altered tectonic breccia.",,0,Blackwell,3/18/2017
GCL,KAD17-001,67.3,78.38,BLACK,UO,MOD,0,UM,UM,BRECCIA,,,,"Dark grey to black massive unit with a strong siliceous alteration and chlorite-graphite-sulfides along foliation and fracture planes. Weak minor fuchsite altereation locally. Foliation is steep and wavy. Rutile flecks present and possible relict varioles and perlitic fragments from 68-75m. Moderate to strong disseminated pyrite, chalcopyrite and possible arsenopyrite.",,0,Blackwell,5/7/2017
GCL,KAD17-001,78.38,89.2,,,,,VOID,VOID,,,,,"Stope 08: Void encountered at 78.38m, pushed HQ rods through to 93m into the rock on the other side.Reduced to NQ and started coring again at 89.2m.",,0,Blackwell,9/19/2017
GCL,KAD17-001,89.2,103.85,BROWN,TO,WK,5,UM,UM,MASS,,,,"Brown to grey, granular ultramafic with carbonate-chlorite-sericite alteration. Massive to weakly foliated. Minor to no quartz-carb veins. Moderate disseminated pyrite throughout. Gradational lower contact to fuchsite and quartz-carbonate alteration.",,0,Blackwell,3/20/2017
GCL,KAD17-001,103.85,131,GREEN-EM,UO,MOD,20,UM,UM-QC,GRAN,,,,"Bright emerald green, strongly quartz-carbonate-fuchsite altered ultramafic with irregular white quartz-carbonate veins throughout. Weak to moderate disseminated sulfides and visible gold in quartz veins at 117.5 and 121m.",,0,Blackwell,3/20/2017
GCL,KAD17-001,131,136.94,GREEN-EM,UO,MOD,40,UM,UM-QC,BAND,,,,"Bright emerald green, strongly quartz-carbonate-fuchsite altered ultramafic with irregular white quartz-carbonate veins/domains throughout. Abundant orange ""carbonate/sphene"" crystals throughout.Gradational to lower brown unit. Moderate disseminated pyrite.",,0,Blackwell,3/20/2017
GCL,KAD17-001,136.94,145.44,BROWN,UO,WK,15,UM,UM,GRAN,,,,"Brown to greenish, massive um unit with a granular texture. Moderate to strong quartz-carb replacement and weak fuchsite alteration. Gradational to stronger fuchsite altered domains. Sparse white quartz carb veins. Weak disseminated pyrite throughout.",,0,Blackwell,3/20/2017
GCL,KAD17-001,145.44,146.4,GREEN,UO,MOD,50,UM,UM-QC,BAND,,,,Green-grey um with strong quartz-carbonate alteration and weak fuchsite plus trace chlorite altn. Gradational to upper brown UM unit. Spare quartz-carb veins and minor disseminated pyrite.,,0,Blackwell,3/20/2017
GCL,KAD17-001,146.4,147.02,TAN,UO,NON,5,DYK,DYKE-ALB,APHAN,,,,"Abundant disseminated pyrite in a strongly albite altered dyke with sharp margins. Thin grey quartz veins, minor < 5mm wide, carbonate veins.",,0,Blackwell,3/20/2017
GCL,KAD17-001,147.02,161.27,GREEN-EM,UO,MOD,60,UM,UM-QC,BRECCIA,,,,"Bright emerald green ragged um domains and grey quartz-carb replaced domains. Fuchsite intensity is variable. Tan, silicified albite dyke from 159.35-159.65m. Abundant disseminated orange mineral. Disseminated pyrite along dark wispy bands defining foliation.",,0,Blackwell,3/21/2017
GCL,KAD17-001,161.27,165.42,BROWN,UO,MOD,40,UM,UM,BRECCIA,,,,"Dark brown ragged fragments (or apparent fragments) of um (or possibly mafic) with grey quartz-carbonate ""infill"". Trace fuchsite. Disseminated pyrite. Planar quartz-carb veins (non-deformed).",,0,Blackwell,3/21/2017
GCL,KAD17-001,165.42,167.67,GREEN-EM,UO,MOD,30,UM,UM-QC,BRECCIA,,,,Green to grey um with ragged grey quartz-carbonate alteration separating fragments with foliation defined fuchsite alteration. Minor wispy grey stringer veins and planar irregular and discontinous to non-deformed milky white quartz-carb veins. Weak disseminated pyrite.,,0,Blackwell,3/21/2017
GCL,KAD17-001,167.67,173.08,BROWN,UO,WK,20,UM,UM-BX,BRECCIA,,,,Upper contact is marked by a fault zone to 168m; followed by a breccia texture to the end of the interval. May be a zone of mixed lithology. Moderate to strong carbonate altn and ragged brown and locally fuchsite altered fragments. Minnor thin (<0.5cm) wide quartz veins.Trace disseminated pyrite.,,0,Blackwell,3/21/2017
GCL,KAD17-001,173.08,186.83,BROWN,UO,MOD,20,UM,UM-ALB,BRECCIA,,,,"Mixed interval of ultramafic and possible mafic dykes.Mafic dykes are tan coloured, have an internal breccia texture and have brecciated margins Alteration ranges in the ultramafic from dominantly brown to green fuchsite domains. Weak to moderate disseminated sulfides.",,0,Blackwell,3/21/2017
GCL,KAD17-001,186.83,202.24,GREEN-AP,UO,MOD,30,UM,UM,MASS,,,,"Green, weakly fuchsite altered ragged and wispy ultramafic lenses with a white quartz-carbonate infill. Moderate disseminated pyrite throughout and irregular, discontinuous white quartz-carb veins.",,0,Blackwell,3/21/2017
GCL,KAD17-001,202.24,222.5,TAN,UO,MOD,20,UM,UM,MASS,,,,UM with alternating massive and quartz-carbonate banded domains. Moderate to strong carbonate altn with weak sericite and chlorite. Disseminated pyrite. Alteration banding is transitional to quartz-carbonate veins. Veining and banding has a similar orientation.,,0,Blackwell,3/21/2017
GCL,KAD17-001,222.5,229.47,TAN,UO,MOD,10,MIX,UM-SED,BAND,,,,Zone of mixed ultramafic and sandstone to mudstone. Possible ultramafic domains and sediment domains.Ultramafic domains may be a primary breccia or mixed domains. Anastomosing carbonate domains and sericite-chlorite wispy lenses. Weak fuchsite alteration. Disseminated pyrite.,,0,Blackwell,7/26/2017
GCL,KAD17-001,229.47,233.5,TAN,UO,MOD,5,MIX,UM-SED,BED,MED,,,"Gradational to upper ultramafic unit; thick to thin graded beds of apparent pebble to granule breccia - sandstone - to mudstone grain size variation. Beds grading downhole.Weak pervasive sericite-chlorite altn with local fuchsite alteration. Weak disseminated pyrite and sparse, thin and planar quartz-carb veins.",,0,Blackwell,7/26/2017
GCL,KAD17-001,233.5,246,GREY,UO,ST,1,SED,SED-MSSS,BED,THIN,,,Alternating beds of dark grey-black mudstone and light grey sandstone. Black interbeds are weakly graphitic. Beds are contorted and folded. Clay gouge-filled discrete faults @ 239.75 (25cm) and @242.48 (25cm). Weak to moderate sericite-chlorite alteration. Trace disseminated pyrite.,,0,Blackwell,3/21/2017
GCL,KAD17-002,0,11.35,GREY,PO,NA,,OVB,OVB,,,,,"Cased to 12 m, intersected BR at 11.35",,0,Stubley,4/24/2017
GCL,KAD17-002,11.35,18.5,GREY,TO,NA,5,FLT,FAULT,FLTD,,,,"Faulted, quartz – carbonate  - chlorite -sericite altered rock. Grey, semi-intact core, texture destroyed by qtz-carb-chl-ser flooding. Rubble < 10cm, Common fault gouge up to 3 cm along planes~30° to core axis. Local healed fault breccias.Trace pyrite.",,0,Stubley,4/24/2017
GCL,KAD17-002,18.5,36,GREY,UO,WK,3,UM,UM,BAND,,,,"Moderate foliation ~40°TCA defined by alternating quartz-carb bands with dark grey selvages, and fuchsite bands. Grey to dark green. Weak to moderate qtz-carb-fuchsite alteration. Common disseminated sulphides, Py and lesser Cpy approximately 5% total. Rare <1/m milky quartz veins <2cm thick cross cut foliation. Decreasing fuchsite 30 to 36 m",,0,Stubley,4/24/2017
GCL,KAD17-002,36,45,GREY,TO,WK,4,MIX,UM-MAFIC,BRECCIA,,,,"Mafic or Ultramafic. Light grey to locally brownish, local brecciation and healed fault fabric shallow TCA. Moderate quartz - carbonate flooding obscures texture. 	Sharp faulted upper contact at ~40° TCA. 	Weak to moderate disseminated pyrite.",,0,Stubley,7/16/2018
GCL,KAD17-002,45,58,GREY,TO,WK,4,MIX,UM-MAFIC,MASS,,,,"Mafic or Ultramafic. Light grey to locally brown, massive equigranular texture. 	Weak patchy quartz carbonate ± chlorite alteration. Weak to trace disseminated pyrite. Discontinuous milky to smoky quartz veins and veinlets, typically shallow TCA",,0,Stubley,7/16/2018
GCL,KAD17-002,58,61.37,GREY,TO,WK,,UM,UM,BAND,,,,"Ultramafic (UM). Gradual increase in fuchsite, associated with weak carbonate alteration. Grey to greenish, local patchy brown carbonate.Discrete fracture/faults, ~20° TCA, with FeOx coatings. Discrete shear zone 60.85 to 61, ~25° TCA. Weak to trace pyrite",,0,Stubley,4/24/2017
GCL,KAD17-002,61.37,62.22,WHITE,UO,NON,100,VN,VEIN,MASS,,,,Discrete Quartz-Carbonate vein ~20° TCA. Strong carbonate alteration at selvages. Trace pyrite,,0,Stubley,4/24/2017
GCL,KAD17-002,62.22,87.15,GREEN-OL,UO,MOD,10,UM,UM,BAND,,,,"Ultramafic (UM). Dark grey to green. Weak pervasive quartz-carb fuchsite ±chlorite flooding. Abundant thin, dark grey wispy smoky quartz ‘veins’ and less common chunky milky quartz-carbonate veins. Weak disseminated pyrite, local thin pyrite wisps and rare sulphide aggregates",,0,Stubley,4/24/2017
GCL,KAD17-002,87.15,91.1,WHITE,UO,NON,100,VN,VEIN,MASS,,,,"Quartz Vein, 	Top contact ~20°TCA. Dark grey-black massive quartz ±carbonate vein. Local inclusions of Qtz-flooded, fuchsite altered wall rock <20cm contain trace sulphides (Py).",,0,Stubley,4/24/2017
GCL,KAD17-002,91.1,116.12,GREEN,UO,MOD,10,UM,UM,GRAN,,,,"Ultramafic (UM). Dark grey to green. Weak pervasive quartz-carb fuchsite ±chlorite flooding. Moderate foliation subparallel TCA. Abundant thin, dark grey wispy smoky quartz ‘veins’ and less common chunky milky quartz-carbonate veins. Thicker <3cm massive smoky quartz veins run sub-parallel TCA locally. Weak to moderate disseminated/blebby to subhedral pyrite (~5% locally), local thin pyrite stringers.",,0,Stubley,4/24/2017
GCL,KAD17-002,116.12,122.75,WHITE,UO,MOD,1,UM,FAULT,BRECCIA,,,,"Silicified Ultramafic(?)/Healed Fault Breccia (UM, FAULT). Massive to brecciated intensely silicified dark grey to black rock. Local relict texture preserved; elongate flattened banding evident in breccias clasts/wall rock fragments.Common massive quartz veins subparallel TCA. Intense proliferance of thin dark quartz ‘stringers’. Intense pervasive quartz, patchy intense albite alteration, and fracture controlled chlorite alteration. Abundant disseminated to blebby pyrite up to ~7% locally. Possible trace arsenopyrite? Darkness of quartz stringers may be associated with very fine grained sulphide but not easily visible.",,0,Unknown,4/24/2017
GCL,KAD17-002,122.75,128.2,,UO,NON,0,VN,VEIN,,,,,Massive multistage quartz vein. Contacts ~5-10° TCA; essentially drilling directly down dip. Relict wall rock textures locally preserved but totally silicified. Fracture controlled chlorite and graphite alteration towards lower contact. Trace pyrite,,0,Unknown,4/24/2017
GCL,KAD17-002,128.2,160.06,GREY,UO,ST,15,UM,UM,BAND,,,,"Strained, intensely foliated (10-20° TCA) ultramafic rock. Foliation defined by alterating bands of calcite/carbonate (strong reaction to dilute HCl. Abundant disseminated pyrite, ~2-3%, possible trace arsenopyrite. Weak local trace fuchsite. **135 to 137 brass smears from drill bit on core",,0,Unknown,4/24/2017
GCL,KAD17-002,160.06,176,GREY,UO,WK,0,MAFIC,DYKE-MAFIC,MASS,,,,"Grey-blue, fine – grained, massive dyke. Sharp upper contact ~30° TCA, sub parallel to foliation. Weak to moderate foliation. Common quartz and calcite veins, 30 to 70° TCA, up to 12 cm thick. Moderate to strong chlorite –calcite alteration. Abundant disseminated pyrite, up to 5% locally.",,0,Unknown,4/24/2017
GCL,KAD17-002,176,183.12,GREY,UO,WK,0,MIX,UM-MAFIC,MASS,,,,"Gradational (?) contact into massive green-grey rock with fragmental-looking, black, fine grained inclusions (sedimentary?) that appear to have been strained to brittle fracture. Calcite±pyrite veins favor these fractures but do not totally terminate at fragment boundaries. Common calcite±sulphide veins. Moderate vein envelope calcite alteration. Fine grained disseminated and euhedral pyrite, common vein hosted pyrite total ~5%. pXRF shots inconclusive to UM/M composition, local As to ~200 ppm",,0,Stubley,7/16/2018
GCL,KAD17-002,183.12,211.84,GREY,UO,MOD,5,MIX,UM-MAFIC,BAND,,,,"Mixed UM/M. Strained grey-white rock, strong banding (~5°TCA) defined by calcite-carbonate and lesser quartz. Strong chlorite-carbonate alteration, strong reaction to dilute HCl in wall rock and veins.
	pXRF shots inconclusive to UM/M composition. Locally faulted, sheared along core axis. Clay and chlorite coat surfaces. Nearly1 m core loss ~201 m. Disseminated pyrite favors foliation planes, up to 2%",,0,Stubley,7/16/2018
GCL,KAD17-002,211.84,224,GREY,UO,ST,15,MIX,UM-MAFIC,BAND,,,,"Grey to greenish, blocky core. Carbonate bands vuggy and disintegrate contain euhedral calcite and quartz crystals. Common clay alteration around faults, common rubble zones. Strong carbonate alteration, traces of fuchsite increase with depth. Common disseminated pyrite, ~2%",,0,Stubley,7/16/2018
GCL,KAD17-002,224,245.5,GREEN,UO,ST,10,UM,UM-QC,,,,,"Ultramafic (possibly mixed). Competent  light green-grey rock. Silica-carbonate alteration, local albite alteration. Discontinuous and patchy smokey quartz veins, contain localtrace  trace Au at 225.8 m. Thin dark grey wispy quartz veinlets. Disseminated and vein hosted py 4% and trace cpy",,0,Stubley,4/24/2017
GCL,KAD17-002,245.5,253.55,BROWN,UO,MOD,5,MAFIC,MAFIC,MASS,,,,"Upper contact diffuse and undulating, sub-parallel to core axis. Tan-brownish massive, weakly quartz sericite±chlorite altered rock. Local zones possible UM inclusion/mixing, patchy fuchsite.Trace disseminated pyrite. Common quartz stringers",,0,Stubley,4/24/2017
GCL,KAD17-002,253.55,255.28,GREEN,UO,MOD,3,UM,UM-QC,BAND,,,,"Green to grey, diffuse contacts subparallel to core axis. Weak to moderate quartz carbonate fuchsite alteration.Undulating, discontinuous quartz-carbonate band/veinss, may contain pyrite. Disseminated pyrite±chalcopyrite up to 2%",,0,Stubley,4/24/2017
GCL,KAD17-002,255.28,256.78,BROWN,UO,WK,0,MAFIC,MAFIC,MASS,,,,"Upper contact diffuse and undulating, sub-parallel to core axis. Tan-brownish massive, weakly quartz sericite±chlorite altered rock. Patchy local fuchsite, trace pyrite.",,0,Stubley,4/24/2017
GCL,KAD17-002,256.78,257.76,TAN,UO,MOD,0,DYK,DYKE-ALB,PHAN,,,,"Sharp, possibly chilled margins ~45°TCA. Elongate black fuzzy wisps <2mm aligned to margins of dyke. ?Biotite. Weakly albite altered, moderate sericite alteration. Trace pyrite.",,0,Stubley,4/24/2017
GCL,KAD17-002,257.76,265,BROWN,UO,MOD,,MIX,UM-MAFIC,MASS,,,,Mixed zone? Dull brown to locally green quartz-sericite altered mafic/ultramafic. Patchy fuchsite locally.Trace pyrite,,0,Stubley,7/16/2018
GCL,KAD17-002,265,270,GREEN-EM,UO,MOD,10,UM,UM-QC,BAND,,,,"Emerald green, quartz-carbonate fuchsite altered ultramafic. Weak quartz-carb banding subparallel TCA. Common disseminated pyrite, trace chalcopyrite",,0,Stubley,4/24/2017
GCL,KAD17-002,270,273.6,,,,,VOID,VOID,,,,,Void intersected Stope 1009-18. Took off core barrel and pushed rods into void to measure distance.,,0,Stubley,9/17/2017
GCL,KAD17-002,273.6,276,,,,,VOID,VOID,,,,,"Drilled into 'floor' of void with HQ bit (no core barrel) to see if driller could determine a difference in rock competence via drilling characteristics, ie cement vs rock. Test was inconclusive, EOH called at 276 m. Casing will be left in hole to facilitate re-entry at later date.",,0,Stubley,9/17/2017
GCL,KAD17-003,0,12,,,,,OVB,OVB,,,,,casing,,0,Unknown,11/18/2017
GCL,KAD17-003,12,16.5,BLACK,UO,WK,20,UM,UM,MASS,,,,"Talc chlorite calcite schist. Rubbly upper part of hole

Massive qtz-feld felsic dyke 10cm from 15.5-15.6m",,0,Unknown,11/18/2017
GCL,KAD17-003,16.5,45.9,GREY,UO,MOD,35,UM,UM,MASS,,,,"talc-chlorite calsite replacment of UM

void at 33-33.5m",,0,Unknown,11/18/2017
GCL,KAD17-003,45.9,63.6,GREEN,UO,MOD,5,UM,UM-QC,MASS,,,,mss foliated at 40 TCA,,0,Unknown,11/18/2017
GCL,KAD17-003,63.6,72.68,GREEN-AP,UO,WK,3,UM,UM-QC,MASS,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,72.68,76.25,GREY,UO,MOD,0.01,UM,UM-BX,BRECCIA,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,76.25,79.76,GREY,TO,WK,2,UM,UM,,,,,MSS UM,,0,Unknown,11/18/2017
GCL,KAD17-003,79.76,87.38,GREY,UO,MOD,,UM,UM-BX,,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,87.38,108.26,GREEN,UO,WK,40,UM,UM,,,,,mss UM with FU and qtz carb replacments,,0,Unknown,11/18/2017
GCL,KAD17-003,108.26,116,GREY,UO,WK,75,UM,UM,,,,,grey granualr carb dominated UM,,0,Unknown,11/18/2017
GCL,KAD17-003,116,128.2,GREEN-EM,UO,WK,25,UM,UM,MASS,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,128.2,128.8,,,,,VOID,VOID,,,,,"Rubble filled stope of FU alteration and tacl-chrloite-cc alt UM, Not sampled, no confidence in the samples origins.",,0,Unknown,11/18/2017
GCL,KAD17-003,128.8,144.4,,,,,FILL,BOULDER,,,,,"Rubble filled stope of FU alteration and tacl-chrloite-cc alt UM, Not sampled, no confidence in thh samples origins.",,0,Unknown,11/18/2017
GCL,KAD17-004,0,4.5,GREY,TO,NA,,OVB,OVB,,,,,Overburden – angular rubble – mixed rock types,,0,Unknown,11/18/2017
GCL,KAD17-004,4.5,27.1,GREY,UO,MOD,5,UM,UM,GRAN,,,,"Grey-green ultramafic rock. Variable alteration and veining throughout. Overall moderate foliation 45 degrees TCA. Rock generally medium grained, granular textures overprinted by veining, foliation.  Zones of intense alteration.",,0,Unknown,11/18/2017
GCL,KAD17-004,27.1,58.4,GREY,TO,WK,30,UM,UM-QC,MASS,,,,"Dark grey, predominantly fine grained rock with moderate-strong deformation and intense quartz carbonate replacement (30% overall).  Interval comprises common broken zones (fault zones?), ""pervasive"" mod to int deformed cm scale qtz-cb vein stockworks. Z",,0,Unknown,11/18/2017
GCL,KAD17-004,58.4,80.28,GREY,UO,MOD,5,UM,UM,GRAN,,,,"Medium grey, strongly foliated package with moderate pervasive qtz-cb-sericite alteration throughout (locally intense). Strain increases towards base of interval (correlating with increase of qtz-cb veining and qtz-cb-calcite-chl alteration",,0,Unknown,11/18/2017
GCL,KAD17-004,80.28,92.85,GREY,UO,WK,5,UM,UM,GRAN,,,,"Relatively massive, largely competent fine grained unit with weak foliation.Unit contains a number of decimetre scale breccia zones comprising sub cm sized angular qtz-cb altered boudins.",,0,Unknown,11/18/2017
GCL,KAD17-004,92.85,108,GREY,UO,WK,0,MAFIC,MAFIC,BAND,,,,"Dark grey, weakly foliated, very fine to fine grained massive unit.  Subtle banding and black carbonaceous laminae.  Qtz-bio-chl? composition. Pervasive silicification, disseminated euhedral pyrite throughout (locally up to 5%). Trace euhedral arsenopyrit",,0,Unknown,11/18/2017
GCL,KAD17-004,108,115,GREY,UO,MOD,10,UM,UM-BX,BRECCIA,,,,Light grey to grey-green deformed/sheared/brecciated ultramafic derived unit with mod talc-cb-chl alteration throughout.,,0,Unknown,11/18/2017
GCL,KAD17-004,115,118,GREY,UO,INT,5,UM,FAULT,BAND,,,,"Grey, fine grained, moderately predominantly mafic rock with minor sediment interbeds.  Pervasive silicification, patchy zones of banded cb alteration.  Local patchy fuchsite-chlorite.  Dissimenated fine grained py throughout interval (description for 115",,0,Unknown,11/18/2017
GCL,KAD17-004,118,121,GREY,UO,ST,5,UM,UM,MASS,,,,Strongly foliated um,,0,Unknown,11/18/2017
GCL,KAD17-004,121,124,GREY,UO,MOD,5,MAFIC,MAFIC,MASS,,,,"Dark brown, strong carbonate-quartz alteration",,0,Unknown,11/18/2017
GCL,KAD17-004,124,127,GREY,UO,MOD,5,UM,UM,MASS,,,,UM,,0,Unknown,11/18/2017
GCL,KAD17-004,127,130,GREY,UO,INT,5,UM,FAULT,BAND,,,,"Strongly foliated, banded and folded unit; interpreted as a mylonite texture. Weak fuchsite.",,0,Unknown,11/18/2017
GCL,KAD17-004,130,133.1,GREY,UO,MOD,5,UM,UM,GRAN,,,,um,,0,Unknown,11/18/2017
GCL,KAD17-004,133.1,134.6,GREEN-EM,TO,WK,10,SLAB,UM,GRAN,,,,"Light emerald green coloured, fuchsite-cb altered ultramafic, granular texture.  Cross cut by a network of fine 2-10mm qtz-cb veinlets.",,0,Unknown,11/18/2017
GCL,KAD17-004,134.6,146.02,GREY,TO,WK,10,FILL,GRAVEL,GRAN,,,,"STOPE: Containing a mixture of fill material which appears to include metre scale boulders or blast material.  Poor core recovery.  Zones of highly blockky core.  Interval comprises grey, strongly foliated, intensely silificified mafic and lesser cb-fuchs",,0,Unknown,11/18/2017
GCL,KAD17-004,146.02,146.75,GREEN-EM,TO,WK,20,SLAB,UM,GRAN,,,,Boulder or rock slab within stope.  Comprises emerald green cb-fuchsite altered UM.,,0,Unknown,11/18/2017
GCL,KAD17-004,146.75,149.15,GREY,TO,WK,5,FILL,BOULDER,,,,,Inteval comprises mixed material including a yellow-brown intensely cb-qtz altered mafic?? With minor fuchsite and a very small ~10cm zone of emerald green cb-fuchsite altered UM.  MIXED fill material.,,0,Unknown,11/18/2017
GCL,KAD17-004,149.15,152.59,GREEN-EM,TO,MOD,10,SLAB,UM,GRAN,,,,"Stope: Boulder/rock slab of emerald green, cb-alt UM",,0,Unknown,11/18/2017
GCL,KAD17-004,152.59,156,GREY,TO,WK,5,FILL,GRAVEL,GRAN,,,,Stope fill comprising a mixture of emerald green UM and grey-green mafic rubble zones. Common core loss and redrilled core. (SR changed original interval to match samples - error in measurement due to broken ground).   (SR changed original interval 152.59,,0,Unknown,11/18/2017
GCL,KAD17-004,156,168,GREEN-EM,UO,WK,10,UM,UM,GRAN,,,,"Emerald green, very weakly foliated fuchsite-carbonate altered UM.  Qtz-cb vein stockwork throughout.  Local zones of shearing? (intense qtz-cb stockworks and brecciation / highly angular UM/qtz veining).  Interval contains local ~m scale wide zones that",,0,Unknown,11/18/2017
GCL,KAD17-004,168,174,NA,,NA,,FILL,BOULDER,,,,,Mixed boulders and voids,,0,Unknown,11/18/2017
GCL,KAD17-004,174,177,GREEN-EM,UO,WK,10,UM,UM,GRAN,,,,,,0,Unknown,11/18/2017
GCL,KAD17-004,177,192,NA,,NA,,FILL,GRAVEL,,,,,Voids and mixed gravel and boulder fill,,0,Unknown,11/18/2017
GCL,KAD17-004,192,202,GREEN-EM,UO,WK,10,UM,UM,GRAN,,,,,,0,Unknown,11/18/2017
GCL,KAD17-004,202,207,NA,,NA,,FILL,GRAVEL,,,,,Gravel fill,,0,Unknown,11/18/2017
GCL,KAD17-004,207,210,GREEN-EM,UO,WK,10,UM,UM,GRAN,,,,,,0,Unknown,11/18/2017
GCL,KAD17-004,210,214,NA,,NA,,FILL,GRAVEL,,,,,Voids and gravell fill,,0,Unknown,11/18/2017
GCL,KAD17-004,214,215.83,GREEN-AP,UO,WK,,UM,UM,,,,,um,,0,Unknown,11/18/2017
GCL,KAD17-004,215.83,231.85,NA,UO,NA,,FILL,GRAVEL,,,,,"Fill: boulder and gravel. Grey-brown coloured, strongly foliated, sheared, and boudinaged rocks. Patchy, moderate sericite-qtz-carb alteration.",,0,Unknown,11/18/2017
GCL,KAD17-004,231.85,234.25,GREEN-EM,UO,MOD,30,UM,UM,BAND,,,,"Bright emerald green coloured, sheared ultramafic.  Pervasive, strong fuchsite-qtz-cb alteration.  ~50% translucen white and opaque white qtz-cb vein stockwork.",,0,Unknown,11/18/2017
GCL,KAD17-004,234.25,249.3,BROWN,UO,ST,5,UM,UM,,,,,"Grey to yellow brown coloured,  strongly foliated and boudinaged unit. Pervasive, moderate cb-sericite alteration throughout interval (decreasing intensity down hole).",,0,Unknown,11/18/2017
GCL,KAD17-004,249.3,257.05,GREEN,UO,MOD,30,UM,UM,GRAN,,,,"Grey, green, sheared, stockworkveined ultramafic.  Patchy moderate fuchsite-qtz-cb alteration throughout interval.",,0,Unknown,11/18/2017
