Project,Hole,From_m,To_m,Alt_Group,Alt_Intensity,Alt_Style,Alt1,Alt1_Int,Alt2,Alt2_Int,Alt3,Alt3_Int,Alt4,Alt4_Int,Alt5,Alt5_Int,Comments,Relog,Logger,Timestamp
GCL,KAD17-001,186.83,202.24,FuQtzCarb,3,PER,CB,3,QZ,2,FU,2,MS,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,202.24,222.5,SerQtzCarb,3,PER,CB,3,QZ,2,MS,2,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,222.5,229.47,SerQtzCarb,3,PER,CB,3,MS,3,CL,2,FU,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,229.47,233.5,SerQtzCarb,2,PER,MS,3,CL,2,FU,2,CB,2,QZ,2,,0,Blackwell,3/24/2017
GCL,KAD17-001,233.5,246,ChlCarb,2,FRC,CL,2,MS,3,CB,2,GR,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-002,11.35,18.5,ChlCarb,4,FRC,CY,4,MS,3,,,,,,,Clay/chlorite altered softened fault rubble. Chl covers fracture planes,0,Stubley,3/25/2017
GCL,KAD17-002,18.5,36,QtzCarb,1,PAT,CB,2,QZ,1,FU,1,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,36,45,Carb,2,PER,CB,2,QZ,1,,,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,45,61.37,QtzCarb,2,PAT,CB,2,QZ,1,CL,1,FU,1,,,,0,Stubley,3/25/2017
GCL,KAD17-002,61.37,62.22,Qtz,5,VNE,,,,,,,,,,,Quartz Vein,0,Stubley,3/22/2017
GCL,KAD17-002,62.22,87.15,FuQtzCarb,2,PER,CB,2,QZ,2,FU,2,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,87.15,91.1,QtzCarb,4,VNE,QZ,4,,,,,,,,,Quartz vein,0,Stubley,3/25/2017
GCL,KAD17-002,91.1,116.12,FuQtzCarb,2,PER,QZ,2,CB,2,FU,2,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,116.12,122.75,ChlQtzCarb,5,PER,QZ,5,AB,3,CL,3,,,,,"Intense pervasive quartz, patchy intense albite alteration, and fracture controlled chlorite alteration.",0,Unknown,3/25/2017
GCL,KAD17-002,122.75,128.2,Qtz,5,VNE,CL,3,,,,,,,,,,0,Unknown,3/23/2017
GCL,KAD17-002,128.2,160.06,Carb,4,PER,CA,4,FU,1,,,,,,,,0,Unknown,3/25/2017
GCL,KAD17-002,160.06,176,ChlCarb,3,PER,CL,3,CA,3,,,,,,,,0,Unknown,3/25/2017
GCL,KAD17-002,176,183.12,ChlCarbCal,4,VNE,CA,4,CL,1,CB,3,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,183.12,211.84,ChlCarbCal,4,PER,CA,4,CL,3,,,,,,,"strong banding (~5°TCA) defined by calcite-carbonate and lesser quartz
Strong chlorite-carbonate alteration, strong reaction to dilute HCl in wall rock and veins.",0,Stubley,3/25/2017
GCL,KAD17-002,211.84,224,ChlQtzCarb,4,VNE,QZ,3,CA,3,FU,1,CY,2,,,"Common clay alteration around faults, common rubble zones 
	Strong carbonate alteration, traces of fuchsite increase with depth.",0,Stubley,3/25/2017
GCL,KAD17-002,224,245.5,QtzCarb,2,PER,AB,2,FU,1,,,,,,,"Silica-carbonate alteration, local albite alteration. Increasing fuchsite content.",0,Stubley,3/26/2017
GCL,KAD17-002,245.5,253.55,SerQtzCarb,3,PER,MS,3,QZ,2,CL,1,FU,1,,,"Tan-brownish massive, weakly quartz sericite±chlorite altered rock
	Local zones possible UM inclusion/mixing, patchy fuchsite.",0,Stubley,3/26/2017
GCL,KAD17-002,253.55,255.28,FuQtzCarb,2,PAT,FU,2,QZ,2,CB,2,,,,,Weak to moderate quartz carbonate fuchsite alteration.,0,Stubley,3/26/2017
GCL,KAD17-002,255.28,256.78,SerQtzCarb,3,PER,MS,2,QZ,2,CL,1,FU,1,,,"Tan-brownish massive, weakly quartz sericite±chlorite altered rock
Patchy local fuchsite, trace pyrite",0,Stubley,3/26/2017
GCL,KAD17-002,256.78,257.76,SerQtzCarb,3,PER,MS,3,AB,1,,,,,,,"Moderate sericite, weakly albite altered",0,Stubley,3/26/2017
GCL,KAD17-002,257.76,265,SerQtzCarb,3,PAT,MS,3,QZ,2,FU,1,,,,,"Dull brown to locally green quartz-sericite altered mafic/ultramafic
Patchy fuchsite locally.",0,Stubley,3/26/2017
GCL,KAD17-002,265,270,FuQtzCarb,4,PER,CB,4,FU,4,QZ,3,,,,,"Emerald green, quartz-carbonate fuchsite altered ultramafic. 
	Weak quartz-carb banding",0,Stubley,3/26/2017
GCL,KAD17-003,12,45.9,TalcChlCal,3,PER,TA,3,CL,3,CA,3,,,,,talc-chlorite calcite,0,Unknown,11/18/2017
GCL,KAD17-003,45.9,63.6,FuQtzCarb,3,PER,FU,3,CB,3,CL,2,MS,2,,,moderate FU-carb with weak chlorite and sericite,0,Unknown,11/18/2017
GCL,KAD17-003,63.6,72.6,FuQtzCarb,3,PER,FU,3,CB,3,,,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,72.6,76.25,TalcChlCal,3,PER,TA,2,CL,2,CA,2,,,,,weak alt'n in UM Bx,0,Unknown,11/18/2017
GCL,KAD17-003,76.25,79.76,Albite,3,PER,AB,3,CB,3,QZ,2,MS,2,,,,0,Unknown,11/18/2017
GCL,KAD17-003,79.76,87.38,TalcChlCal,2,PER,TA,2,CA,2,CL,2,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,87.38,108.26,FuQtzCarb,4,PER,FU,3,CB,4,RU,3,,,,,FU color increasing to emerald green,0,Unknown,11/18/2017
GCL,KAD17-003,108.26,116,QtzCarb,4,PER,CB,4,FU,2,MS,2,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,116,128.2,FuQtzCarb,5,PER,FU,5,CB,5,,,,,,,emerald green FU alt'n,0,Unknown,11/18/2017
GCL,KAD17-003,128.2,128.8,NA,,,,,,,,,,,,,,0,Henderson,11/18/2017
GCL,KAD17-003,128.8,144.4,NA,,,,,,,,,,,,,Mixed,0,Henderson,11/18/2017
GCL,KAD17-004,0,4.5,NA,NA,,,,,,,,,,,,,0,Unknown,11/18/2017
GCL,KAD17-004,4.5,9,ChlCarbCal,4,PER,QZ,3,,,,,,,,,Pervasive chlorite-carbonate-calcite alteration.  Silicification related to prevalent (~40%) quartz carbonate veining throughout interval.,0,Unknown,11/18/2017
GCL,KAD17-004,9,27.1,TalcChlCal,3,PER,TA,3,CB,4,CL,1,,,,,Talc-Chlorite-Calcite alteration.  Local zones of green-yellow intense iron/magnesium carbonate replacement.,0,Unknown,11/18/2017
GCL,KAD17-004,27.1,58.4,TalcChlCal,3,PAT,QZ,3,CB,3,CA,3,TA,3,CL,2,"Zone of intense pervasive qtz+cb+talc+-chlorite alteration.  Patchy zones of intense yellow-green iron/magnesium? carbonate alteration.  Some patchy cb alteration occurs as yellow-brown halos to thin, fracture controlled qtz stringers",0,Unknown,11/18/2017
GCL,KAD17-004,58.4,71.25,SerQtzCarb,4,PER,QZ,4,CB,2,MS,3,AB,3,,,Pervasive qtz>sericite+cb altered interval.  Patchy grey coloured silica (possibly albite??) replacement of protolith. Trace disseminated pyrite throughout.,0,Unknown,11/18/2017
GCL,KAD17-004,71.25,80.28,ChlCarbCal,3,PER,QZ,2,CB,3,CA,3,CL,3,,,"Pervasive qtz-cb-calcite-chlorite alteration.  Correlates with zone of darker grey, higher strain, common shear fabrics and crenulation cleavage.  10% qtz-cb veins boudins within fabric.  Trace pyrite throughout.",0,Unknown,11/18/2017
GCL,KAD17-004,80.28,92.85,QtzCarb,3,PER,QZ,3,CB,4,MS,3,,,,,"Pervasive,mod-strong qtz-cb+-sericite alteration.  Patchy intense carbonate ankerite replacement throughout interval (selective replacement?  Local zones with patchy intense fuchsite cb alteration (appear to be clasts of fuchsitic cb material?)",0,Unknown,11/18/2017
GCL,KAD17-004,92.85,108,Qtz,4,PER,QZ,4,,,,,,,,,Pervasive silicification,0,Unknown,11/18/2017
GCL,KAD17-004,108,115,TalcChl,3,PER,CB,3,,,,,,,,,"Pervasive, moderate talc-chl-cb alteration throughout.  Textural replacement.",0,Unknown,11/18/2017
GCL,KAD17-004,115,133.1,Qtz,4,PER,AB,3,CB,3,FU,2,,,,,"Pervasive, locally strong silicification throughout interval.  Patchy intense grey coloured albite alteration (predominantly 117-121).   Patchy zones with wispy chlorite-fuchsite alteration. Patchy cb alteration occuring predominantly as bands parallel to",0,Unknown,11/18/2017
GCL,KAD17-004,133.1,134.6,FuQtzCarb,4,PER,FU,4,QZ,3,CB,4,,,,,"Pervasive, strong emerald green carb-fuchsite alteration",0,Unknown,11/18/2017
GCL,KAD17-004,134.6,146.02,Qtz,5,PER,CL,2,FU,3,CB,4,,,,,Mafic? Protolith has been intensely silicified.  Some remnant wispy Chl throughout.  Ultramafic rock is emerald green from mod-strong cb-fuchsite alteration.,0,Unknown,11/18/2017
GCL,KAD17-004,146.02,146.75,FuQtzCarb,3,PER,FU,4,CB,4,,,,,,,Pervasive emerald green cb-fuchhsite alteration.,0,Unknown,11/18/2017
GCL,KAD17-004,146.75,149.15,QtzCarb,4,PER,CB,4,QZ,3,FU,4,,,,,Mixed zone of fill material.  Qtz-cb altered mafic and cb-fuchsite altered UM.,0,Unknown,11/18/2017
GCL,KAD17-004,149.15,152.59,FuQtzCarb,4,PER,FU,4,CB,4,,,,,,,"Pervasive, strong emerald green qtz-cb altered UM.",0,Unknown,11/18/2017
GCL,KAD17-004,152.59,156,FuQtzCarb,3,PER,FU,3,QZ,3,CB,3,,,,,Mixed zone of fill material.  Silicified mafic and cb-fuchsite altered UM.  (SR changed original interval 152.59-157.25 to match samples - error in measurement due to broken ground),0,Unknown,11/18/2017
GCL,KAD17-004,156,177,FuQtzCarb,4,PER,FU,4,CB,3,,,,,,,"Strong, pervasive, fuchsite-qtz-cb alteration throughout.  Locally intense silicification correlating with intense deformation (157.25-163?).  Local zones with cb>>fu alteration (reflection composition differences in parent lith??).  Yellow-brown mm scale",0,Unknown,11/18/2017
GCL,KAD17-004,177,215.83,FuQtzCarb,3,PER,CB,4,QZ,2,FU,3,,,,,"Grey-light green interval refelecting overall decrease in intensity of fuchsite-silicate alteration.  Rare, local zones (sub metre scale) with strong Fu.  Local strong silicification.",0,Unknown,11/18/2017
GCL,KAD17-004,215.83,231.85,SerQtzCarb,2,PAT,QZ,3,CB,3,MS,2,,,,,"Pervasive weak qtz-cb+/- sericite alteration.  Local, patches of moderate alteration (qtz-cb-ms).  May reflect protolith (ie sericite developed in muddier units??)",0,Unknown,11/18/2017
GCL,KAD17-004,231.85,234.25,FuQtzCarb,4,PER,FU,4,CB,4,QZ,3,,,,,"Bright emerald green fuchsite-cb-qtz alteration, Wispy fuchsite.",0,Unknown,11/18/2017
GCL,KAD17-004,234.25,235.72,FuQtzCarb,2,PER,FU,2,CB,3,QZ,2,,,,,Weak emerald green colouration.  Pervasive cb alteration.  Weak fuchsite - wispy.,0,Unknown,11/18/2017
GCL,KAD17-004,235.72,244,SerQtzCarb,2,PER,CB,3,MS,2,QZ,2,,,,,Yellow-brown weak-moderate pervasive cb>sericite-qtz alteration.,0,Unknown,11/18/2017
GCL,KAD17-004,244,249.3,ChlQtzCarb,2,PER,MS,2,,,,,,,,,"Brown, green package.  Cb-chl-qtz+-ser alteration throughout.  Alteration assemblage may reflect grainsize/compositional change in protolith.  This unit likely conglomerate with muddy interbeds?",0,Unknown,11/18/2017
GCL,KAD17-004,249.3,253,QtzCarb,4,PER,QZ,4,CB,3,CL,,,,,,"Pervasive qtz>cb alteration throughout interval.  Wispy, patchy chlorite.",0,Unknown,11/18/2017
GCL,KAD17-004,253,257.05,FuQtzCarb,3,PAT,CB,3,FU,2,,,,,,,Pervasive weak fuchsite-qtz-cb alteration with local zones of moderate-strong alteration.,0,Unknown,11/18/2017
GCL,KAD17-004,257.05,261.15,QtzCarb,3,PER,QZ,4,CB,3,FU,1,,,,,Pervasive qtz-cb alteration throughout.  Faint emerald green tinge.,0,Unknown,11/18/2017
GCL,KAD17-004,261.15,298.88,FuQtzCarb,2,PER,QZ,3,CB,3,FU,2,,,,,"Pervasive, weak fuchsite-qtz-cb alteration throughout.  Fuchsite weakens to trace from 297-299.88",0,Unknown,11/18/2017
GCL,KAD17-004,298.88,345,ChlQtzCarb,2,PER,QZ,3,CB,3,CL,2,,,,,Weak to moderate qtz-cb+-c alteration throughout,0,Unknown,11/18/2017
GCL,KAD17-005,16.5,21.64,QtzCarb,2,PAT,,,,,,,,,,,start sampling at 21m,0,Unknown,11/18/2017
GCL,KAD17-005,21.64,26.57,SerQtzCarb,3,PER,MS,3,CB,3,,,,,,,,0,Unknown,11/18/2017
GCL,KAD17-005,26.57,37.17,FuQtzCarb,3,PER,FU,3,CB,2,,,,,,,moderate FU alt'n,0,Unknown,11/18/2017
GCL,KAD17-005,37.17,78.58,ChlCarb,3,PER,,,,,,,,,,,pervaisive chlorite-carboinates with patchy albite,0,Unknown,11/18/2017
GCL,KAD17-005A,21,24.46,TalcChlCal,2,PER,,,,,,,,,,,tacl-chlorite-carbinate,0,Sherlock,4/8/2017
GCL,KAD17-005A,24.46,28.09,SerQtzCarb,3,PER,MS,3,CB,2,,,,,,,,0,Sherlock,4/8/2017
GCL,KAD17-005A,28.09,36.96,FuQtzCarb,3,PER,FU,3,CB,3,,,,,,,moderate green carbonate,0,Sherlock,4/8/2017
GCL,KAD17-005A,36.96,85.68,ChlCarb,3,PER,CL,2,CB,3,,,,,,,weak alteration possible patchy albite,0,Sherlock,4/8/2017
GCL,KAD17-005A,85.68,147.6,TalcChlCal,3,PER,,,,,,,,,,,"pervaisive talcy-chlore UM, increasingly talcy down hole",0,Sherlock,4/9/2017
GCL,KAD17-005A,147.6,177.5,FuQtzCarb,4,PER,FU,4,QZ,4,CB,4,,,,,,0,Sherlock,4/9/2017
GCL,KAD17-005A,177.5,196.28,FuQtzCarb,3,PER,FU,3,QZ,2,CB,3,,,,,,0,Sherlock,4/9/2017
GCL,KAD17-005A,196.28,253.5,TalcChl,3,PER,,,,,,,,,,,"pervaisive talc-clor carbonate
no gold related alteration or mineralization
stopped sampling at 200m",0,Sherlock,4/10/2017
GCL,KAD17-005A,253.5,296.63,NA,0,,,,,,,,,,,,no sigificant alteration or mineralization,0,Sherlock,4/10/2017
GCL,KAD17-006,0,13.63,NA,NA,,,,,,,,,,,,Overburden,0,Robinson,4/10/2017
GCL,KAD17-006,13.63,20.15,TalcChlCal,3,PER,TA,3,CL,3,CB,3,CA,2,,,Dark green talc-chl-cb alteration.  Weak fizz due to presence of calcite.  Apple green chl-carbonate selvedges on qtz-cb veins.,0,Robinson,4/10/2017
GCL,KAD17-006,20.15,21.2,Chl,4,PAT,,,,,,,,,,,Quartz vein.  Chlorite selvedges/wallrock inclusions,0,Robinson,4/10/2017
GCL,KAD17-006,21.2,23.61,TalcChlCal,3,PER,TA,3,CL,3,CA,2,CB,4,,,Pervasive talc-chlorite-carbonate alteration.  Weak calcite.,0,Robinson,4/10/2017
GCL,KAD17-006,23.61,35,TalcChlCal,3,PAT,TA,3,CL,3,CA,3,,,,,Pervasive talc-chlorite-carbonate alteration throughout high strained unit,0,Robinson,4/10/2017
GCL,KAD17-006,35,40.2,Carb,4,PER,CB,4,CL,2,CA,3,,,,,"Grey-brown-green coloured moderate-strong, pervasive alteration. Alteration predominantly siderite?+ferroan dolomite? occuring as coarse, brown/pink replacement of UM.  Calcite mod-strong throughout interval.  Fine chlorite present",0,Robinson,4/10/2017
GCL,KAD17-006,40.2,58.5,TalcChl,5,PER,TA,5,CL,3,,,,,,,Intense talc-chlorite alteration.  Common veinlets of talc. Extremely soft.,0,Robinson,4/10/2017
GCL,KAD17-006,58.5,68,TalcChl,4,PER,TA,4,CL,4,CB,4,CA,3,,,"Strong, pervasive talc-chlorite-carbonate throughout",0,Robinson,4/11/2017
GCL,KAD17-006,68,76,ChlQtzCarb,3,PER,QZ,2,CB,4,CL,3,MS,3,TA,2,"Pervasive moderate carbonate>qtz alteration throughout.  Patchy sericite, chlorite on qtz vein margins.  Weak talc.",0,Robinson,4/11/2017
GCL,KAD17-006,76,136.7,TalcChl,4,PER,TA,4,CL,3,CB,3,,,,,"Pervasive, strong talc-chl-cb alteration throughout interval",0,Robinson,4/11/2017
GCL,KAD17-006,136.7,143.81,FuQtzCarb,3,PER,QZ,4,FU,3,CB,3,CL,3,,,Intensely silicifed zone within qz+-cb vein stockwork.  Common wispy network chlorite-fuchsite dominant UM wallrock slithers.  Interval contains some coherent granular zones comprising strong iron carbonate altered UM.,0,Robinson,4/11/2017
GCL,KAD17-006,143.81,148.36,ChlCarb,3,PER,CB,4,CL,3,QZ,2,,,,,"Pervasive, moderate intensity carbonate chlorite alteration throughout.  Some patchy intense fe-carbonate replacement.  Local silicification.",0,Robinson,4/11/2017
GCL,KAD17-006,148.36,158.18,FuQtzCarb,4,PER,FU,4,QZ,4,CB,4,,,,,"Pervasive, strong fu-qz-cb alteration.",0,Robinson,4/11/2017
GCL,KAD17-006,158.18,169.72,ChlCarb,3,PER,CB,4,CL,2,TA,2,,,,,Pervasive iron carbonate replacement.  Yellow brown colouration.  Patchy chlorite and minor sericite noted.  Chlorite prevalent on vein margins and as wispy inclusions within veins,0,Robinson,4/11/2017
GCL,KAD17-006,169.72,174.63,FuQtzCarb,5,PER,FU,5,QZ,4,CB,3,,,,,Intense fu-qz-cb alteration.  Wispy fuchsite withing intense zones of veining.  Alteration weakens towards base of interval.,0,Robinson,4/12/2017
GCL,KAD17-006,174.63,181.61,ChlCarb,3,SEL,CB,3,CL,3,MS,2,QZ,2,,,Pervasive strong carbonatealteration throughout.  Intensely veined zones contain chloritic angular wallrock slithers.  Local silicification.  Patchy sericite noted.,0,Robinson,4/12/2017
GCL,KAD17-006,181.61,193,FuQtzCarb,3,PER,FU,3,CB,3,QZ,2,,,,,moderate pervasive fuchsite-carbonate alteration.  Local moderate to strong zones of silicification.,0,Robinson,4/12/2017
GCL,KAD17-006,193,196.11,QtzCarb,3,PER,CB,4,QZ,2,FU,2,,,,,Brown-grey pervasive cb+-qz alteration.  Weak fuchsite.,0,Robinson,4/12/2017
GCL,KAD17-006,196.11,199.61,FuQtzCarb,3,PER,FU,3,CB,3,QZ,2,,,,,moderate pervasive fuchsite-carbonate alteration.  Local moderate to strong zones of silicification.,0,Robinson,4/12/2017
GCL,KAD17-006,199.61,203.2,TalcChl,4,PER,TA,4,CL,4,CB,2,,,,,"Pervasive, strong talc-chlorite-carbonate",0,Robinson,4/12/2017
GCL,KAD17-006,203.2,224.84,FuQtzCarb,5,PER,FU,5,CB,5,QZ,4,,,,,"Pervasive, intense Fu-cb-qz alteration.  Some local m scale zones where alteration intensity decreases to moderate.",0,Robinson,4/12/2017
GCL,KAD17-006,224.84,251.85,NA,NA,,,,,,,,,,,,Void.  No fill.  Core does not exist for this interval.  Minor sand noted.,0,Robinson,9/3/2017
GCL,KAD17-006,251.85,274.75,TalcChl,4,PER,,,,,,,,,,,Pv talc-chlorite.  Minor magnetite noted. No calcite.,0,Robinson,4/13/2017
GCL,KAD17-006,274.75,315,ChlCarb,2,PAT,CL,2,CB,3,MS,2,QZ,2,,,"Variable, patchy, weak-moderate ch-carb with local zones Ser-qz-cb alteration",0,Robinson,4/13/2017
GCL,KAD17-006,315,336.75,FuQtzCarb,3,PER,FU,3,CB,3,QZ,3,MS,2,,,Pervasive weak-moderate alteration.  Some zones with moderate sericite.,0,Robinson,4/13/2017
GCL,KAD17-006,336.75,384.5,SerQtzCarb,2,PAT,MS,3,CB,2,QZ,3,,,,,"Sericite local, patchy",0,Robinson,4/15/2017
GCL,KAD17-006,384.5,396,,0,,,,,,,,,,,,No Alteration present,0,Robinson,4/15/2017
GCL,KAD17-007,8.23,15.67,Albite,4,PER,AB,4,CB,3,CL,3,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,15.67,20.8,Albite,3,PER,AB,3,CB,3,CL,3,,,,,Albite alteration strongest in mafic domains.  Chlorite alteration strongest in chlorite domains,0,Blackwell,4/15/2017
GCL,KAD17-007,20.8,22.15,Albite,4,PER,AB,4,CL,3,CB,2,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,22.15,25.89,ChlQtzCarb,3,PER,CB,3,CL,3,AB,2,QZ,1,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,25.89,28,ChlQtzCarb,5,PER,CB,5,QZ,4,CL,3,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,28,31.2,QtzCarb,3,PER,CB,3,QZ,3,,,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,31.2,41.94,QtzCarb,4,PER,CB,4,QZ,4,FU,2,CL,2,AB,3,,0,Blackwell,4/15/2017
GCL,KAD17-007,41.94,46.83,Albite,3,PER,AB,3,CB,3,MS,3,CL,2,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,46.83,59.1,FuQtzCarb,4,PER,CB,4,QZ,4,FU,3,CL,2,RU,2,"Acicular orange mineral (rutile?), weak.",0,Blackwell,4/15/2017
GCL,KAD17-007,59.1,61.5,QtzCarb,3,PER,CB,3,CY,2,,,,,,,Alteration only developed in matrix.,0,Blackwell,4/15/2017
GCL,KAD17-007,61.5,64.1,ChlQtzCarb,4,PER,CL,4,CB,4,QZ,3,,,,,Quartz-carb alteration appears to overprint and decrease gradationally to the talc-chlorite alteration.,0,Blackwell,4/15/2017
GCL,KAD17-007,64.1,101.23,TalcChl,4,PER,CL,4,TA,3,CB,2,QZ,2,CA,2,,0,Blackwell,4/15/2017
GCL,KAD17-007,101.23,106.23,QtzCarb,3,PER,CB,4,QZ,4,CL,2,,,,,Knife sharp upper contact with chlorite-talc alteration.,0,Blackwell,4/15/2017
GCL,KAD17-007,106.23,109.47,QtzCarb,5,PER,CB,4,QZ,5,CL,2,MS,2,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,109.47,115,FuQtzCarb,3,PER,CB,4,QZ,3,FU,3,RU,2,,,dominantly apple green and trending towards emerald green at the end of the interval.,0,Blackwell,4/15/2017
GCL,KAD17-007,115,130,FuQtzCarb,3,PER,FU,4,QZ,4,CB,4,,,,,FuQtzCarb altered boulders and voids,0,Blackwell,4/16/2017
GCL,KAD17-007,130,136.9,FuQtzCarb,4,PER,FU,4,QZ,4,CB,4,RU,2,,,,0,Blackwell,4/16/2017
