Project,Hole,From_m,To_m,Min_Intensity,Min_Style,Min_Pct,VG,Min1,Min2,Min3,Min4,Min5,Comments,Relog,Logger,Timestamp
GCL,KAD17-006,23.61,35,2,BLP,1,FALSE,PY,,,,,Some local zones with large clots (1-2cm) of pyrite noted (metamorhpic).  Less than 1% of interval.,0,Robinson,4/10/2017
GCL,KAD17-006,35,40.4,0,,,FALSE,,,,,,No visible sulphides,0,Robinson,4/10/2017
GCL,KAD17-006,40.4,58.5,2,BLP,0.1,FALSE,PY,,,,,Weak/trace coarse (1-5mm)  blebby pyrite blebs noted within interval.  Metamorphic?,0,Robinson,4/16/2017
GCL,KAD17-006,58.5,76,1,BLP,1,FALSE,PY,,,,,rare 1-5mm blebby pyrite noted.  Pyrite noted within brecciated qtz vein clast within UM,0,Robinson,4/11/2017
GCL,KAD17-006,76,136.7,1,PAT,0.1,FALSE,PY,,,,,"Trace, rare, minor py noted within interval.",0,Robinson,4/11/2017
GCL,KAD17-006,136.7,143.81,3,DIS,2,FALSE,PY,AS,,,,"Disseminated fine grained py, rare arsenopyrite noted.",0,Robinson,4/11/2017
GCL,KAD17-006,143.81,148.36,2,DIS,1,FALSE,PY,,,,,"Fine disseminated, locally patchy py through zone.",0,Robinson,4/11/2017
GCL,KAD17-006,148.36,158.12,3,DIS,5,FALSE,PY,CP,AS,TT,,"Fine grained disseminated, sometimes granular aggregates of py.  Less common chalcopyrite.  Rare as and tetrahedrite noted.",0,Robinson,4/11/2017
GCL,KAD17-006,158.12,169.72,2,DIS,1,FALSE,PY,,,,,Fine grained disseminated py,0,Robinson,4/11/2017
GCL,KAD17-006,169.72,174.63,4,DIS,5,TRUE,VG,PY,,,,>10 grains of fine grain gold noted within interval (171-174.5m).  Fine disseminated py.,0,Robinson,4/12/2017
GCL,KAD17-006,174.63,181.61,0,,,FALSE,,,,,,No sulphide noted.,0,Robinson,4/12/2017
GCL,KAD17-006,181.61,193,2,DIS,2,FALSE,PY,AS,,,,"Disseminated py, trace as",0,Robinson,4/12/2017
GCL,KAD17-006,193,196.11,1,DIS,0.1,FALSE,PY,,,,,Trace disseminated py,0,Robinson,4/12/2017
GCL,KAD17-006,196.11,203.2,1,DIS,0.1,FALSE,PY,,,,,Trace py,0,Robinson,4/12/2017
GCL,KAD17-006,203.2,224.84,3,DIS,2,FALSE,PY,AS,TT,SP,,"~2% very fine dissem py, trace as, trace tetrahedrite. Fine black cubic mineral (sphalerite?).  Pyrite noted selectively replacing spinifex needles at 204.7",0,Robinson,4/12/2017
GCL,KAD17-006,224.84,251.85,NA,,,FALSE,,,,,,Void.  No fill.  Core does not exist for this interval.  Minor sand noted.,0,Robinson,4/12/2017
GCL,KAD17-006,251.85,274.75,1,DIS,0.1,FALSE,PY,,,,,"rare, trace py",0,Robinson,4/13/2017
GCL,KAD17-006,274.75,315,1,DIS,1,FALSE,PY,AS,,,,Fine dissem py.  Not uniform.  Locally up to 5% pyrite and arsenopyrite,0,Robinson,4/13/2017
GCL,KAD17-006,315,336.75,2,DIS,1,FALSE,PY,AS,CP,,,Fine disseminated py>as>cp.  Locally up to 5%,0,Robinson,4/13/2017
GCL,KAD17-006,336.75,396,0,,,FALSE,,,,,,No significant sulphide noted.,0,Robinson,4/13/2017
GCL,KAD17-007,8.23,15.67,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,15.67,20.8,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,20.8,22.15,3,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,22.15,25.89,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,25.89,28,4,DIS,2,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,28,31.2,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,31.2,41.94,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,41.94,46.83,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,46.83,59.1,2,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,59.1,61.5,0,,0,FALSE,,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,61.5,64.1,2,DIS,0.5,FALSE,,,,,,,0,Blackwell,4/15/2017
GCL,KAD17-007,64.1,101.23,1,DIS,0.1,FALSE,PY,,,,,Trace to no disseminated mineralization,0,Blackwell,4/15/2017
GCL,KAD17-007,101.23,115,2,DIS,0.5,FALSE,PY,,,,,Weak disseminated pyrite,0,Blackwell,4/16/2017
GCL,KAD17-007,115,130,3,DIS,0.5,FALSE,PY,,,,,Variable disseminated pyrite throughout FuQtzCarb altered boulders throughout this interval.,0,Blackwell,4/16/2017
GCL,KAD17-007,130,136.9,3,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,136.9,138.11,NA,,,FALSE,,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,138.11,153,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,153,165,4,DIS,1,FALSE,PY,,,,,Disseminated pyrite concentrated in um fragments and in wispy fuchsite altered laminae,0,Blackwell,4/16/2017
GCL,KAD17-007,165,170.1,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,170.1,173.1,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,173.1,176.73,2,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,176.73,178.1,NA,,,FALSE,,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,178.1,182.05,4,DIS,2,FALSE,PY,,,,,Possible darker sulfide as well as pyrite.,0,Blackwell,4/16/2017
GCL,KAD17-007,182.05,189,2,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,189,192,4,DIS,5,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,192,221.7,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/16/2017
GCL,KAD17-007,221.7,224,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,224,229.68,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,229.68,234.26,4,DIS,2,FALSE,PY,TT,,,,Pyrite is silvery and interpreted to be arsenian. Dark grey black very fine-grained mineral.,0,Blackwell,4/17/2017
GCL,KAD17-007,234.26,237.06,5,DIS,5,FALSE,PY,TT,,,,Disseminated pyrite throughout the groundmass of the albite and the fu-qtz-carb altn. Dark grey-black very fine-grained sulfide (possible tetrahedrite/sphalerite).,0,Blackwell,4/17/2017
GCL,KAD17-007,237.06,242.6,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,242.6,252.2,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,252.2,258.45,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,258.45,286.29,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,286.29,291.87,4,DIS,2,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,291.87,294.53,3,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,4/17/2017
GCL,KAD17-007,294.53,305.75,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,4/18/2017
GCL,KAD17-007,305.75,309,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,4/18/2017
GCL,KAD17-008,4.63,14.1,4,BLP,3,FALSE,PY,,,,,,0,Stubley,4/18/2017
GCL,KAD17-008,14.1,22.3,4,BLP,3,FALSE,PY,CP,,,,Possible CP,0,Stubley,4/18/2017
GCL,KAD17-008,22.3,28.44,3,BLP,2,FALSE,PY,,,,,Foliation parallel py blebs,0,Stubley,4/18/2017
GCL,KAD17-008,28.44,30.25,3,DIS,1,FALSE,PY,,,,,,0,Stubley,4/18/2017
GCL,KAD17-008,30.25,34.25,3,BLP,1,FALSE,PY,,,,,,0,Stubley,4/18/2017
GCL,KAD17-008,34.25,49.95,4,BLP,4,FALSE,PY,,,,,Locally foliation parallel,0,Stubley,4/19/2017
GCL,KAD17-008,49.95,56.9,1,DIS,1,FALSE,PY,,,,,,0,Stubley,4/19/2017
GCL,KAD17-008,56.9,60,2,DIS,0.5,FALSE,,,,,,Weak disseminated pyrite up to 0.5%,0,Stubley,4/19/2017
GCL,KAD17-008,60,85.16,2,DIS,0.5,FALSE,,,,,,Weakly disseminated and blebby pyrite ~0.5%,0,Stubley,4/19/2017
GCL,KAD17-008,85.16,145.75,2,BLP,0.5,FALSE,,,,,,"Disseminated and blebby pyrite up to 1% locally, typically 0.5%.",0,Stubley,4/19/2017
GCL,KAD17-008,145.75,156,1,DIS,0.1,FALSE,,,,,,Trace fine grained disseminated pyrite,0,Stubley,4/19/2017
GCL,KAD17-008,156,179.15,2,DIS,1,FALSE,PY,TT,,,,"Weakly disseminated pyrite, and trace silvery arsenian pyrite. Trace blue-black mineral (tennantite?)occurs within quartz-carb veins. Albite dyke from 178.95 to 179.15 is contains heavily disseminated pyrite",0,Stubley,4/20/2017
GCL,KAD17-008,179.15,180.44,NA,,,FALSE,,,,,,Void,0,Unknown,4/20/2017
GCL,KAD17-008,180.44,182.68,2,VN,1,TRUE,VG,PY,AS,,,"Discrete interval of clear greyish quartz veining containing several visible gold flecks between 181.60 and 182 m.
	Discrete clots (<5cm) of densely disseminated pyrite ± possible arsenian pyrite occur within dark green massive rock. 
Trace blue-black mineral (tennantite?)",0,Unknown,4/20/2017
GCL,KAD17-008,182.68,197.7,1,DIS,0.5,FALSE,PY,,,,,,0,Unknown,4/20/2017
GCL,KAD17-008,197.7,205.1,1,DIS,0.25,FALSE,PY,,,,,,0,Unknown,4/20/2017
GCL,KAD17-008,205.1,213.93,NA,,,FALSE,,,,,,stope fill,0,Stubley,4/21/2017
GCL,KAD17-008,213.93,218.8,2,DIS,0.5,FALSE,,,,,,Patchy pyrite dissemination,0,Stubley,4/21/2017
GCL,KAD17-008,218.8,245.92,3,PAT,1,FALSE,PY,,TT,,,Pyrite with possible arsenian pyrite and possible trace tennantite,0,Stubley,4/21/2017
GCL,KAD17-008,245.92,268.36,1,DIS,0.1,FALSE,,,,,,Trace pyrite,0,Stubley,4/22/2017
GCL,KAD17-008,268.36,279.65,2,DIS,1,FALSE,PY,,,,,,0,Stubley,4/22/2017
GCL,KAD17-008,279.65,329.5,1,DIS,0.1,FALSE,PY,,,,,Trace Pyrite,0,Stubley,4/22/2017
GCL,KAD17-008,329.5,357,3,DIS,0.5,FALSE,PY,,,,,"Weakly to locally moderaely disseminated pyrite, up to 1% over <30 cm intervals, typically about .5%",0,Stubley,4/22/2017
GCL,KAD17-009,4.25,12.03,4,BLP,1,FALSE,PY,,,,,,0,Blackwell,4/21/2017
GCL,KAD17-009,12.03,12.68,4,BLP,3,FALSE,PY,,,,,,0,Blackwell,4/22/2017
GCL,KAD17-009,12.68,20.48,2,DIS,0.5,FALSE,PY,,,,,Weak to moderate disseminated pyrite (0.5-1%). Pyrite is brassy.,0,Blackwell,4/22/2017
GCL,KAD17-009,20.48,42.96,4,DIS,1,FALSE,PY,,,,,Disseminated pyrite (pyrite is very brassy),0,Blackwell,4/22/2017
GCL,KAD17-009,42.96,46.45,4,DIS,2,FALSE,PY,,,,,Abundant disseminated pyrite,0,Blackwell,4/22/2017
GCL,KAD17-009,46.45,51.84,5,BLP,10,FALSE,PY,,,,,Strong disseminated and pods of pyrite (5-10%),0,Blackwell,4/22/2017
GCL,KAD17-009,51.84,58.22,4,BLP,5,FALSE,PY,,,,,Strong disseminated and poddy pyrite (2-5%).,0,Blackwell,4/22/2017
GCL,KAD17-009,58.22,59.35,5,BLP,20,FALSE,PY,,,,,Blebs and pods of pyrite up to 2 cm.,0,Blackwell,4/22/2017
GCL,KAD17-009,59.35,69.65,5,BLP,10,FALSE,PY,,,,,Very brassy pyrite pods.,0,Blackwell,4/22/2017
